position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00194622	0.999956	4.36355e-05	6.65333e-08	1
N/A	0.00194674	0.999968	3.20739e-05	5.89346e-05	0.999941
N/A	0.00194734	0.999978	2.20428e-05	3.44999e-06	0.999997
N/A	0.00194773	0.999961	3.86677e-05	5.09671e-06	0.999995
N/A	0.00194777	0.999956	4.36798e-05	1.31022e-05	0.999987
N/A	0.00194808	0.999966	3.40086e-05	0.000600859	0.999399
N/A	0.00194828	0.999959	4.06835e-05	1.96558e-08	1
N/A	0.00194855	0.999971	2.92322e-05	1.47624e-06	0.999999
N/A	0.00194857	0.999963	3.65091e-05	5.95554e-06	0.999994
N/A	0.00194906	0.999963	3.72978e-05	3.90379e-06	0.999996
N/A	0.00194922	0.999962	3.78084e-05	1.49734e-09	1
N/A	0.00195002	0.999949	5.0981e-05	1.46362e-08	1
N/A	0.0019502	0.999953	4.73323e-05	4.82511e-07	1
N/A	0.00195158	0.999973	2.71019e-05	1.96681e-09	1
N/A	0.00195232	0.999968	3.24787e-05	0.000364955	0.999635
N/A	0.00195256	0.999975	2.49252e-05	1.62163e-08	1
N/A	0.00195269	0.999965	3.47582e-05	0.000501761	0.999498
N/A	0.00195341	0.999965	3.5016e-05	2.96428e-08	1
N/A	0.00195412	0.999974	2.61723e-05	2.46341e-07	1
N/A	0.00195421	0.999961	3.87409e-05	5.15284e-08	1
N/A	0.0019544	0.999965	3.54744e-05	0.000270956	0.999729
N/A	0.00195456	0.999951	4.91422e-05	1.11468e-06	0.999999
N/A	0.00195483	0.999974	2.58724e-05	0.000272709	0.999727
N/A	0.00195501	0.999966	3.39245e-05	8.29674e-07	0.999999
N/A	0.00195503	0.999973	2.72816e-05	9.60683e-07	0.999999
N/A	0.00195634	0.999965	3.46974e-05	9.38987e-07	0.999999
N/A	0.00195668	0.999968	3.24772e-05	2.57943e-06	0.999997
N/A	0.00195741	0.99997	2.95875e-05	5.68281e-07	0.999999
N/A	0.00195805	0.999962	3.76592e-05	0.000471948	0.999528
N/A	0.00195847	0.999958	4.20288e-05	0.000995979	0.999004
