position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00137266	0.99997	3.04567e-05	1.31977e-05	0.999987
N/A	0.00137284	0.999967	3.32767e-05	9.40886e-05	0.999906
N/A	0.00137317	0.999974	2.58357e-05	0.000124645	0.999875
N/A	0.00137324	0.999968	3.15499e-05	1.16317e-08	1
N/A	0.00137332	0.999967	3.25158e-05	5.10805e-09	1
N/A	0.00137376	0.999972	2.84164e-05	1.39342e-07	1
N/A	0.00137392	0.99997	2.95191e-05	5.89949e-08	1
N/A	0.00137397	0.999973	2.73002e-05	2.84108e-05	0.999972
N/A	0.00137426	0.999962	3.83354e-05	4.34837e-09	1
N/A	0.00137466	0.999979	2.14159e-05	2.99348e-06	0.999997
N/A	0.00137541	0.999969	3.08582e-05	5.04902e-08	1
N/A	0.00137543	0.999963	3.69665e-05	5.49451e-08	1
N/A	0.00137545	0.999971	2.9293e-05	5.31579e-06	0.999995
N/A	0.00137571	0.999975	2.52011e-05	4.39968e-09	1
N/A	0.00137575	0.999968	3.18064e-05	7.95477e-07	0.999999
N/A	0.00137595	0.99997	3.03329e-05	1.02185e-07	1
N/A	0.001376	0.999968	3.15329e-05	6.02491e-08	1
N/A	0.0013768	0.999964	3.61504e-05	2.65753e-09	1
N/A	0.00137681	0.999968	3.19351e-05	7.57157e-06	0.999992
N/A	0.00137688	0.999971	2.90122e-05	4.79929e-09	1
N/A	0.00137703	0.999972	2.8059e-05	5.80886e-06	0.999994
N/A	0.00137744	0.999962	3.76959e-05	1.69385e-08	1
N/A	0.00137756	0.999969	3.13818e-05	4.54443e-08	1
N/A	0.00137757	0.999971	2.90451e-05	1.19981e-07	1
N/A	0.00137841	0.999972	2.7741e-05	9.42331e-09	1
N/A	0.00137936	0.999974	2.63459e-05	1.12777e-07	1
N/A	0.00137948	0.999968	3.18172e-05	3.8474e-07	1
N/A	0.00137964	0.999976	2.41045e-05	4.02393e-07	1
N/A	0.00137981	0.999968	3.18311e-05	0.000322573	0.999677
N/A	0.00137993	0.999965	3.4524e-05	1.87373e-07	1
N/A	0.0013801	0.999957	4.28473e-05	5.76741e-05	0.999942
N/A	0.00138071	0.999961	3.93414e-05	0.000312483	0.999688
N/A	0.0013808	0.999976	2.39931e-05	0.000433582	0.999566
N/A	0.00138109	0.999977	2.28798e-05	2.81151e-07	1
N/A	0.00138111	0.999969	3.12135e-05	3.08116e-09	1
N/A	0.00138121	0.999963	3.71148e-05	5.6975e-09	1
N/A	0.00138132	0.999968	3.15113e-05	1.60428e-07	1
N/A	0.00138155	0.999974	2.63221e-05	8.74132e-09	1
N/A	0.00138156	0.999969	3.06021e-05	1.00997e-06	0.999999
N/A	0.00138165	0.999967	3.33146e-05	3.30277e-05	0.999967
N/A	0.00138183	0.999964	3.61033e-05	2.75e-07	1
N/A	0.00138185	0.999966	3.44277e-05	2.16613e-07	1
N/A	0.00138213	0.999968	3.1587e-05	1.19445e-05	0.999988
N/A	0.00138214	0.999965	3.54953e-05	0.000299036	0.999701
